date,weekday,target_delta,call_strike,put_strike,actual_call_delta,actual_put_delta,strike_width,entry_gamma,entry_theta,iv,call_entry_price,put_entry_price,straddle_cost,hedge_count,transaction_costs,daily_pnl,first_third_pnl,mid_third_pnl,last_third_pnl,peak_pnl,trough_pnl,peak_time,trough_time,total_minutes
2026-03-11,Wednesday,0.35,611.0,609.0,0.373,-0.326,2.0,28.6761,-9.1428,0.25,0.6611,0.5505,121.16,13,5.14,243.9,108.25,92.78,56.77,260.06,-14.85,15:48,13:46,149
2026-03-16,Monday,0.35,601.0,599.0,0.325,-0.368,2.0,29.1026,-8.9625,0.25,0.5374,0.6424,117.98,10,3.56,47.12,20.65,28.0,8.75,56.98,-5.48,15:57,14:05,123
2026-03-18,Wednesday,0.35,602.0,600.0,0.407,-0.29,2.0,28.7698,-8.9154,0.25,0.74,0.4632,120.32,6,1.88,-27.12,-1.53,6.54,-21.9,27.79,-33.68,14:27,15:50,93
2026-03-25,Wednesday,0.35,591.0,589.0,0.302,-0.388,2.0,29.396,-8.7467,0.25,0.4769,0.6812,115.82,13,4.6,203.85,98.37,11.89,105.38,224.63,-8.74,15:43,13:34,151
2026-03-30,Monday,0.35,568.0,566.0,0.31,-0.368,2.0,30.4773,-8.3795,0.25,0.4743,0.6055,107.98,3,1.7,70.88,41.54,44.36,-1.86,100.53,-7.37,15:04,13:33,151
2026-04-01,Wednesday,0.35,582.0,580.0,0.401,-0.287,2.0,29.6141,-8.576,0.25,0.6992,0.4402,113.94,5,2.32,105.43,82.94,22.43,15.53,119.74,-7.84,15:58,13:31,143
2026-04-06,Monday,0.35,589.0,587.0,0.306,-0.382,2.0,29.5158,-8.7245,0.25,0.4846,0.6645,114.91,13,4.71,217.5,168.22,74.85,-14.87,265.12,-7.03,14:49,13:35,151
2026-04-09,Thursday,0.35,607.0,605.0,0.321,-0.375,2.0,28.8363,-9.0572,0.25,0.5335,0.6669,120.04,11,4.49,132.88,54.03,-8.15,97.78,138.59,-6.17,16:00,13:31,150
2026-02-04,Wednesday,0.5,615.0,615.0,0.189,-0.811,0.0,26.9468,-8.6377,0.25,0.2075,1.9837,219.12,6,3.07,141.28,130.71,-18.48,47.66,155.39,-9.6,15:02,14:37,89
2026-02-09,Monday,0.5,610.0,610.0,0.019,-0.981,0.0,4.7728,-1.4423,0.25,0.0141,4.1233,413.74,16,6.4,213.87,105.18,95.43,27.97,224.12,-5.94,15:57,14:31,91
2026-02-18,Wednesday,0.5,605.0,605.0,0.031,-0.969,0.0,7.0315,-2.1205,0.25,0.0233,3.7196,374.29,8,3.89,122.29,102.71,27.53,6.34,132.37,-6.56,15:57,14:35,91
2026-02-23,Monday,0.5,607.0,607.0,0.575,-0.425,0.0,39.4526,-12.4694,0.25,0.993,0.6193,161.23,2,1.76,52.77,37.61,22.1,11.89,67.29,-16.0,15:59,14:39,91
2026-02-25,Wednesday,0.5,609.0,609.0,0.953,-0.047,0.0,9.8641,-3.2207,0.25,3.3731,0.0393,341.24,1,1.7,-6.21,14.22,-2.29,-1.4,13.78,-7.88,15:01,14:38,78
2026-03-02,Monday,0.5,599.0,599.0,0.667,-0.333,0.0,37.0502,-11.433,0.25,1.2752,0.4315,170.67,2,1.43,76.38,74.68,42.21,-23.55,116.04,-5.07,15:13,14:30,63
2026-03-09,Monday,0.5,594.0,594.0,0.804,-0.196,0.0,21.9708,-6.7204,0.25,2.4203,0.2742,269.45,14,6.24,361.69,206.71,158.62,12.23,378.88,-5.89,15:55,13:32,146
2026-03-11,Wednesday,0.5,606.0,606.0,0.947,-0.053,0.0,8.3245,-2.7068,0.25,4.2133,0.0571,427.03,11,4.94,23.39,-9.78,25.88,18.61,45.25,-19.64,15:51,14:30,149
2026-03-16,Monday,0.5,596.0,596.0,0.936,-0.064,0.0,9.8381,-3.082,0.25,3.9162,0.0701,398.63,1,1.6,-19.97,11.8,-22.31,6.4,12.26,-24.89,14:10,14:50,123
2026-03-25,Wednesday,0.5,590.0,590.0,0.453,-0.547,0.0,31.8261,-9.4697,0.25,0.8512,1.1501,200.12,12,4.53,137.3,96.92,14.74,38.52,158.32,-9.06,15:43,13:34,151
2026-03-30,Monday,0.5,565.0,565.0,0.776,-0.224,0.0,25.0341,-6.9162,0.25,2.1145,0.3107,242.52,16,6.31,107.54,33.81,56.07,29.92,114.73,-7.25,16:00,13:33,151
2026-04-01,Wednesday,0.5,580.0,580.0,0.713,-0.287,0.0,27.737,-8.0507,0.25,1.8161,0.4402,225.63,5,2.38,79.05,66.98,27.12,3.51,93.44,-5.07,15:58,13:30,143
2026-04-06,Monday,0.5,589.0,589.0,0.306,-0.694,0.0,28.2813,-8.3411,0.25,0.4846,1.7485,223.31,7,3.02,71.83,80.0,25.75,-22.13,128.78,-7.95,14:40,13:35,151
2026-04-09,Thursday,0.5,604.0,604.0,0.761,-0.239,0.0,24.2569,-7.6525,0.25,2.1666,0.3604,252.7,8,3.47,30.68,32.62,-32.04,45.51,41.02,-8.12,16:00,15:09,150
